variant,folds,mean_pr_auc,std_pr_auc,mean_roc_auc,mean_f1,mean_precision,mean_recall
donor_ARE,3,0.22428637552727104,0.07284976174672834,0.6622723212607767,0.28947482478194975,0.2574292532096525,0.45799036644107066
donor_CHN,3,0.22405720876176752,0.07406020497789079,0.6625311409114626,0.2558631968964204,0.25191858525191857,0.3346137430644473
donor_THA,3,0.22317450487651036,0.04358405280274844,0.6587410029013668,0.25387205387205386,0.2289247473985824,0.47373330894457655
true_target_specific_me_network,3,0.22268166079244742,0.07387662552875059,0.6646837735851089,0.25827735482907893,0.24121987465271047,0.5478263520517042
donor_IDN,3,0.22124326858439033,0.06439506369229915,0.6652801683548835,0.2646997115132442,0.20751574380568502,0.4854886897140418
donor_DEU,3,0.22014348324041347,0.06888456517414424,0.6628123453364863,0.2927652332446853,0.2661852328518995,0.48359856106334975
donor_SAU,3,0.21948139594711913,0.051026258563386113,0.6653352239592648,0.2150524896732776,0.20747843734145102,0.41692579720748735
donor_USA,3,0.21875288276048732,0.07103970968590034,0.6620775577623859,0.28194396657426285,0.21785317679841007,0.48746417901347483
donor_JPN,3,0.2187029582492415,0.07102500956054646,0.6611929515296651,0.2327767332199242,0.24224343295370585,0.37140418267178826
donor_KOR,3,0.2186627909385606,0.06619303292401173,0.6614166403832296,0.2541081788393616,0.23168773880795665,0.4347417840375587
donor_VNM,3,0.21690983044419632,0.07363618245131598,0.6622622175708401,0.26905162833412893,0.24738030684961657,0.457118468386074
donor_AUS,3,0.2152472938424447,0.06979229912791383,0.6646827766734597,0.27654036057264203,0.26737839698315313,0.4740076824583867
