concentration_metric,delta_metric,pearson_corr,spearman_corr
me_top3_share,m5_minus_m4_pr_auc,0.3539097285890231,0.3545454545454546
me_top3_share,m5_minus_m3_pr_auc,0.02151118291063597,0.33636363636363636
me_top3_share,m5_minus_shuffled_pr_auc,0.16282102112692035,0.27272727272727276
me_top3_share,m5_minus_m1_pr_auc,0.08644738213619976,0.23636363636363636
me_hhi,m5_minus_m3_pr_auc,-0.26966467473200195,0.11818181818181818
me_hhi,m5_minus_m4_pr_auc,0.02851186019887138,0.06363636363636364
me_hhi,m5_minus_m1_pr_auc,-0.17697031863866755,0.018181818181818184
me_top1_share,m5_minus_m3_pr_auc,-0.297521980250801,0.018181818181818184
me_hhi,m5_minus_shuffled_pr_auc,-0.23341374445215252,-0.06363636363636364
me_entropy,m5_minus_m3_pr_auc,0.1419561321122263,-0.1272727272727273
me_effective_partners,m5_minus_m3_pr_auc,0.162502535624088,-0.1272727272727273
me_top1_share,m5_minus_m1_pr_auc,-0.33805575024830065,-0.13636363636363638
me_entropy,m5_minus_m4_pr_auc,-0.12357108386337753,-0.13636363636363638
me_effective_partners,m5_minus_m4_pr_auc,-0.1114296552580102,-0.13636363636363638
me_entropy,m5_minus_shuffled_pr_auc,-0.015748758375864227,-0.15454545454545454
me_effective_partners,m5_minus_shuffled_pr_auc,0.023420776220931902,-0.15454545454545454
me_top1_share,m5_minus_m4_pr_auc,-0.1465030010977343,-0.18181818181818182
me_entropy,m5_minus_m1_pr_auc,0.008395853842602208,-0.21818181818181823
me_effective_partners,m5_minus_m1_pr_auc,0.06200848172129875,-0.21818181818181823
me_top1_share,m5_minus_shuffled_pr_auc,-0.3607255519402839,-0.2545454545454546
