kind,file,role,suggested_use
figure,reports/figures/fig_pipeline_overview.png,Pipeline overview,Main paper data/benchmark design
figure,reports/figures/fig_all_country_supply_chain_network.png,Import-dependency network visualization,Main paper event-network feature section
figure,reports/figures/fig_panel_target_exposure_timeseries.png,Panel target and exposure time series,Main paper data/exploratory analysis
figure,reports/figures/fig_panel_model_comparison_pr_auc.png,Core PR-AUC benchmark comparison,Main paper results
figure,reports/figures/fig_panel_model_comparison_auc.png,PR-AUC and ROC-AUC comparison,Main paper results
figure,reports/figures/fig_panel_pr_auc_by_fold.png,Rolling-origin temporal stability,Main paper or appendix robustness
figure,reports/figures/fig_panel_m5_delta_bootstrap.png,Paired bootstrap PR-AUC deltas,Main paper robustness
figure,reports/figures/fig_panel_exposure_correlation.png,Exposure feature redundancy diagnostic,Main paper discussion or appendix
figure,reports/figures/fig_panel_country_network_gain.png,Country-level network gain heterogeneity,Appendix
figure,reports/figures/fig_panel_leave_one_country_out.png,Leave-one-country-out generalization,Appendix robustness
figure,reports/figures/fig_panel_counterfactual_network_swap.png,Counterfactual donor-network swap,Appendix robustness
figure,reports/figures/fig_target_timeseries.png,Japan target visualization,Japan case study or appendix
figure,reports/figures/fig_model_comparison_auc.png,Japan model comparison,Japan case study or appendix
figure,reports/figures/fig_network_exposure_timeseries.png,Japan exposure time series,Japan case study or appendix
figure,reports/figures/fig_partner_contributions.png,Japan partner contribution attribution,Japan case study or appendix
figure,reports/figures/fig_exposure_correlation.png,Japan exposure feature correlation,Japan case study or appendix
table,reports/tables/panel_benchmark_summary.csv,Main benchmark metrics,Main paper results table
table,reports/tables/panel_benchmark_metrics_by_fold.csv,Fold-level benchmark metrics,Appendix
table,reports/tables/panel_benchmark_m5_deltas.csv,Paired bootstrap delta checks,Main paper robustness table
table,reports/tables/all_country_network_overview_edges.csv,Network figure edge list,Data appendix
table,reports/tables/panel_leave_one_country_out_summary.csv,Leave-one-country-out summary,Appendix robustness
table,reports/tables/panel_leave_one_country_out_results.csv,Leave-one-country-out detail,Appendix robustness
table,reports/tables/panel_counterfactual_network_swap_summary.csv,Counterfactual donor-swap summary,Appendix robustness
table,reports/tables/panel_counterfactual_network_swap_by_fold.csv,Counterfactual donor-swap by fold,Appendix robustness
table,reports/tables/panel_network_mechanism_country_results.csv,Country-level mechanism diagnostics,Appendix
table,reports/tables/panel_network_mechanism_correlations.csv,Mechanism correlation diagnostics,Appendix
table,reports/tables/panel_benchmark_model_interpretation.csv,Model interpretation,Appendix
table,reports/tables/panel_benchmark_predictions.csv,Prediction audit and case study support,Internal audit or appendix
