feature_group,model,train_rows,validation_rows,test_rows,train_positives,validation_positives,test_positives,selected_threshold,validation_f1_at_threshold,roc_auc,roc_auc_ci_low,roc_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,precision,recall,f1
M3_unweighted_me_event,random_forest,156,53,50,16,4,5,0.31999999999999995,0.25,0.8888888888888888,0.7318561131668209,0.9918661616161616,0.5476190476190477,0.16666666666666666,0.9446874999999998,0.20833333333333334,1.0,0.3448275862068966
M6_equal_placebo,random_forest,156,53,50,16,4,5,0.31999999999999995,0.25,0.8888888888888888,0.7318561131668209,0.9918661616161616,0.5476190476190477,0.16666666666666666,0.9446874999999998,0.20833333333333334,1.0,0.3448275862068966
M6_random_placebo,random_forest,156,53,50,16,4,5,0.5399999999999999,0.2857142857142857,0.8844444444444444,0.7034444444444445,0.9918661616161616,0.5454545454545454,0.16666666666666666,0.9446874999999998,0.25,0.8,0.38095238095238093
M5_me_network,random_forest,156,53,50,16,4,5,0.59,0.2857142857142857,0.8844444444444445,0.7443963384463137,0.9877216312056737,0.5253588516746412,0.17080627705627707,0.9,0.3076923076923077,0.8,0.4444444444444444
M6_shuffled_placebo,random_forest,156,53,50,16,4,5,0.31999999999999995,0.25,0.8844444444444445,0.7406028368794326,0.9858939393939394,0.43000000000000005,0.16666666666666666,0.9091806722689074,0.21739130434782608,1.0,0.35714285714285715
M5_me_network,logistic,156,53,50,16,4,5,0.94,0.3333333333333333,0.8266666666666667,0.6845881642512077,0.9363451086956521,0.40643162393162396,0.1111111111111111,0.7548809523809523,0.23076923076923078,0.6,0.3333333333333333
M3_unweighted_me_event,logistic,156,53,50,16,4,5,0.94,0.36363636363636365,0.7955555555555556,0.6276374113475177,0.9326893939393939,0.3874098848011892,0.09707175925925927,0.738389164598842,0.16666666666666666,0.4,0.23529411764705882
M6_equal_placebo,logistic,156,53,50,16,4,5,0.94,0.36363636363636365,0.7955555555555556,0.6276374113475177,0.9326893939393939,0.3874098848011892,0.09707175925925927,0.738389164598842,0.16666666666666666,0.4,0.23529411764705882
M6_random_placebo,logistic,156,53,50,16,4,5,0.94,0.36363636363636365,0.7955555555555556,0.6395295822435852,0.9270380434782608,0.38494172494172496,0.09724893162393161,0.7323452085548857,0.16666666666666666,0.4,0.23529411764705882
M6_shuffled_placebo,logistic,156,53,50,16,4,5,0.31999999999999995,0.23529411764705882,0.7911111111111111,0.6367213455149502,0.9265916149068323,0.3813053613053613,0.09545454545454546,0.7194591253398553,0.16666666666666666,1.0,0.2857142857142857
