evaluation,context,policy,rows,positives,main_or_label_pr_auc,top25_hits
target_sensitivity,sigma_1p0,AA0_fixed_operational,5024,934.0,0.2619,27
target_sensitivity,sigma_1p0,AA2_fixed_true_wits_additive,5024,934.0,0.2635,33
target_sensitivity,sigma_1p0,AA3_fixed_true_gated,5024,934.0,0.2629,33
target_sensitivity,sigma_1p0,AA9_gated_if_validation_safe_else_additive,5024,934.0,0.2654,34
target_sensitivity,sigma_1p5_main,AA0_fixed_operational,5024,562.0,0.1888,22
target_sensitivity,sigma_1p5_main,AA2_fixed_true_wits_additive,5024,562.0,0.1977,26
target_sensitivity,sigma_1p5_main,AA3_fixed_true_gated,5024,562.0,0.1970,27
target_sensitivity,sigma_1p5_main,AA9_gated_if_validation_safe_else_additive,5024,562.0,0.1994,28
target_sensitivity,sigma_2p0_severe,AA0_fixed_operational,5024,320.0,0.1212,12
target_sensitivity,sigma_2p0_severe,AA2_fixed_true_wits_additive,5024,320.0,0.1331,17
target_sensitivity,sigma_2p0_severe,AA3_fixed_true_gated,5024,320.0,0.1293,18
target_sensitivity,sigma_2p0_severe,AA9_gated_if_validation_safe_else_additive,5024,320.0,0.1319,18
shortfall_subgroup,current_shortfall_nonpositive,AA2_fixed_true_wits_additive,2596,,0.1513,15
shortfall_subgroup,current_shortfall_nonpositive,AA3_fixed_true_gated,2596,,0.1442,16
shortfall_subgroup,current_shortfall_nonpositive,AA9_gated_if_validation_safe_else_additive,2596,,0.1467,15
shortfall_subgroup,current_shortfall_positive,AA2_fixed_true_wits_additive,2428,,0.2179,27
shortfall_subgroup,current_shortfall_positive,AA3_fixed_true_gated,2428,,0.2203,30
shortfall_subgroup,current_shortfall_positive,AA9_gated_if_validation_safe_else_additive,2428,,0.2216,29
