evaluation,contrast,pooled_pr_auc_delta,ci_low,ci_high,top25_hit_delta,audit_result
loco_compact_gated,compact_gated_true_vs_NG2_portwatch_gdelt_wits_additive,-0.0075,-0.0201,0.0052,1,top25_positive_pr_auc_uncertain
loco_compact_gated,compact_gated_true_vs_NG6_equal_compact_gated_placebo,-0.0144,-0.0350,0.0096,-1,weak_or_negative
temporal_compact_gated,compact_gated_true_vs_equal_placebo,0.0014,-0.0072,0.0104,3,top25_positive_pr_auc_uncertain
temporal_compact_gated,compact_gated_true_vs_random_placebo,0.0042,-0.0052,0.0143,7,top25_positive_pr_auc_uncertain
temporal_compact_gated,compact_gated_true_vs_shuffled_placebo,0.0014,-0.0112,0.0116,-3,directional_pr_auc_positive
temporal_compact_gated,compact_gated_true_vs_wits_additive,0.0042,-0.0018,0.0099,-1,directional_pr_auc_positive
temporal_conversion_propensity,true_cp_gated_vs_equal_placebo,0.0137,0.0026,0.0269,12,positive_pr_auc_interval
temporal_conversion_propensity,true_cp_gated_vs_shuffled_placebo,-0.0012,-0.0119,0.0098,8,top25_positive_pr_auc_uncertain
temporal_conversion_propensity,true_cp_gated_vs_true_wits_additive,-0.0007,-0.0093,0.0086,4,top25_positive_pr_auc_uncertain
temporal_guarded_AA9,guarded_gated_vs_true_wits_additive,0.0017,-0.0021,0.0066,2,top25_positive_pr_auc_uncertain
temporal_guarded_AA9,guarded_policy_vs_equal_placebo,0.0089,-0.0030,0.0219,5,top25_positive_pr_auc_uncertain
temporal_guarded_AA9,guarded_policy_vs_gdelt,0.0116,0.0018,0.0216,7,positive_pr_auc_interval
